;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of the Ten Kings;c. 14th century BCE[1];Tritsu	Bharatas (tribe)	Indo-Aryan peoples;Sudas	Vasishtha;Near Parusni River (modern Ravi), Punjab;Decisive Trtsu-Bharata victory;Vishvamitra;Unknown but less;Unknown but less;6,666 (Mandala 7);More than 6,666;List of Rigvedic tribes	Anu (tribe)	Bhrigu	Indo-Aryan peoples	List of Rigvedic tribes	Dasa	Dahae	List of Rigvedic tribes	Matsya Kingdom	Indo-Aryan peoples	Persians	Puru (Vedic tribe)	Indo-Aryan peoples	Panis	Parni
Battle of Kadesh;Late May 1274 BC[1];New Kingdom of Egypt;Ramesses II	Paser (vizier)	Amun-her-khepeshef	Ramesses (prince)	Khaemweset	Pareherwenemef;On the Orontes River near Kadesh;Egyptian tactical victory, strategically indecisive[2][3] Egyptian–Hittite peace treaty[4];Muwatalli II	Ḫattušili III	Shattuara	Mitanni;"Unknown (""heavy"")[12]";20,000-53,000 men[5]	(half engaged)	16,000 infantry[6]	2,000 chariots[7]	4,000 men[6];Unknown (2,000 chariots destroyed)[13];Somewhere between 23,000–50,000 men	Somewhere between 15,000[8]–40,000 infantry[9]	(not engaged)	Somewhere between 2,500–10,500 chariots[9][10]	Somewhere between 9,000–11,100 men[11];Hittites
Battle of Nihriya;c. 1237 BC;Hittites;Tudḫaliya IV;Niḫriya;Assyrian victory;Shalmaneser I;;;;;Assyria
Battle of Mount Tabor (biblical);mid 12th century BCE;Israelites;Deborah	Barak	Jael;Mount Tabor, Israel;Israelite victory;Sisera	Tel Hazor;no reliable estimates, but very light;10,000 men recruited from the tribes of Naphtali and Zebulun;no reliable estimates, but very heavy;900 iron chariots, each carrying a charioteer and an archer	20,000 infantrymen	Total: 21,800 soldiers;Canaan
Battle of Muye;c. 1046 BC;Shang dynasty;King Zhou of Shang;Muye, southwest of Yin, Central Henan;Decisive Zhou victory Suicide of King Zhòu of Shang Fall of Shang dynasty;King Wu of Zhou;All loyal Shang soldiers were slaughtered;Historical Records:[citation needed]	530,000 Shang troops (not all loyal)	170,000 slaves (who later defected)	~Total 700,000 men	Modern Estimates:[citation needed]	50,000-70,000 Shang Troops	Many slaves;Relatively minor;Historical Records:	300 Zhou chariots	3,700 rebel principalities chariots	3,000 Zhou elite	45,000 Zhou footmen;Predynastic Zhou
Battle of Mount Zemaraim;913 BC;Kingdom of Judah;Abijah of Judah;Mount Zemaraim at the mountains of Ephraim, north of Jerusalem, Kingdom of Judah;Decisive Judah victory;Jeroboam;unknown;400,000 warriors;500,000 dead;800,000 warriors;Kingdom of Israel (Samaria)
Battle of Karkar;853 BC;Neo-Assyrian Empire;Shalmaneser III;Qarqur, Northern Syria;Indecisive;Hadadezer	Ahab	Irhuleni	Gindibu	Baasha of Ammon	Quwê	Arwad	Siyannu;Unknown;35,000, including:[1]	20,000 infantry,	12,000 cavalry,	1,200 chariots,[2];Unknown;53,000-63,000 infantry,	4,000 chariots,	2,000 cavalry,	1,000 camelry;Hama	Kingdom of Israel (Samaria)	Aram-Damascus	Ammon	Qedarites	Arwad	Quwê	Arqa	Siyannu	Ancient Egypt
Battle of Xuge;707 BC;Zheng (state);Duke Zhuang of Zheng;Xuge (modern day Changge, Henan Province);Zheng victory;King Huan of Zhou;;;;;Eastern Zhou	Chen (state)	Cai (state)	Wey (state)
Siege of Jerusalem (701 BC);701 BCE;Neo-Assyrian Empire;Rabshakeh	Rabsaris	Tartan (Assyrian);Jerusalem, Israel;Both sides claim victory Kingdom of Judah subjugated King Hezekiah of Judah remains in power;Hezekiah	Eliakim, son of Hilkiah	Joah	Shebna;Unknown	Ancient Sources:	185,000 (According to the Biblical account);Unknown;Unknown;Unknown;Kingdom of Judah
Battle of Diyala River;693 BC;Elam	Babylonia	Ellipi;Mushezib-Marduk;Nippur and Diyala River;Pyrrhic Assyrian victory;Sennacherib;;;;;Assyria
Battle of Halule;691 BC;Babylonia	Chaldea	Arameans	Babylonia	Elam	Zagros tribes	Persians;Mushezib-Marduk	Humban-Numena;Halule;Battle was indecisive;Sennacherib;;;;;Assyria
Battle of Ulai;c. 653 BC;Neo-Assyrian Empire;Ashurbanipal;Karkheh River;Decisive Assyrian victory;Teumman	Tammaritu;;;;;Elam
Battle of Susa;647 BC;Assyria;Ashurbanipal;Mesopotamia, Elam;"Decisive Assyrian victory; Looting and total destruction of Susa";Wikipedia:Cleanup;Unknown;Unknown;Unknown;Unknown;Elam
Battle of Chengpu;632 BC;Jin (Chinese state)	Qi (state)	Qin (state)	Song (state);Hu Mao	Hu Yan	Xian Zhen	Xi Zhen	Xu Chen (Zhou dynasty)	Luan Zhi;vicinity of Chenliu, Henan or the southwest of Juancheng County, Shandong;Decisive Jin victory;Cheng Dechen	Zishang	Zixi (Zhou dynasty);Unknown;700 chariots (Jin),other parts unknown.;Unknown, 100 chariots and 1000 warriors captured;Unknown;Chu (state)	Chen (state)	Cai (state)	Shen (state)	Xi (state)	Wey (state)
Fall of Tarbisu;615 BC;Medes;Cyaxares;Tarbisu;Median victory[1][2][3][4][5];Sinsharishkun;Unknown;Unknown;Unknown;Unknown;Assyria
Fall of Assur;614 BC[1];Medes;Cyaxares;Assur;Decisive Median victory[2][3];Sinsharishkun;Unknown;Unknown;Extermination of the city[1];Unknown;Assyria
Battle of Nineveh (612 BC);612 BC;Neo-Assyrian Empire;Sinsharishkun;Nineveh;Decisive Medo-Babylonian victory[1] Destruction of Assyria's capital Founding of Neo-Babylonian Empire Assyrian Empire severely weakened;Cyaxares	Nabopolassar;Unknown;;Unknown;;Medes	Babylonia
Battle of Megiddo (609 BC);June or July 609 BC;Late Period of ancient Egypt;Necho II;Megiddo32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°ECoordinates: 32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°E;Egyptian victory Judah becomes a vassal state of the Twenty-sixth Dynasty of Egypt;Josiah;Unknown;Unknown;High;Unknown;Kingdom of Judah
Fall of Harran;610-609 BC[1];Neo-Babylonian Empire	Medes;Nabopolassar	Cyaxares;Harran;Decisive Medo-Babylonian victory, fall of the Assyrian Empire[2][3][4];Ashur-uballit II	Necho II;Unknown;Unknown;Unknown;Unknown;Neo-Assyrian Empire	Twenty-sixth Dynasty of Egypt
Battle of Carchemish;c. 605 BC;Late Period of ancient Egypt	Neo-Assyrian Empire;Necho II;Carchemish;Decisive Babylonian and Median(?) victory. End of Egyptian intervention in the Near East.;Nebuchadnezzar II	Cyaxares;large;40,000;minimal;18,000;Neo-Babylonian Empire	Medes
Battle of Hamath;c. 605 BC;Ancient Egypt;Necho II;Hama;Decisive Babylonian Victory;Nebuchadnezzar II;Very high;Much fewer;Low;Unknown;Babylonia
Siege of Jerusalem (597 BC);c. 597 BC;Kingdom of Judah;Jehoiakim	Jeconiah;Jerusalem;"Babylon takes and despoils Jerusalem; Babylonian victory";Nebuchadnezzar II;Many slain, others taken to captivity;Much fewer;Unknown;Unknown;Neo-Babylonian Empire
Battle of Bi;597 BC;Chu (state)	Zheng (state);Sunshu Ao	Zi Zhong	Zi Fan;Bi, near modern day Xingyang, Henan Province;Chu victory, hegemony of King Zhuang of Chu;Xun Linfu	Shi Hui (Spring and Autumn period)	Zhao Shuo;Unknown;Unknown;Unknown;Unknown;Jin (Chinese state)
Battle of An;589 BCE;Qi (state);Duke Qing of Qi;Hua Hill, Jinan36°43′42.96″N 117°3′49.86″E﻿ / ﻿36.7286000°N 117.0638500°E;victory of the State of Jin, alliance between Jin and Qi;Xi Ke;;;;;Jin (Chinese state)
Siege of Jerusalem (587 BC);589 to 587 BC;Kingdom of Judah;Zedekiah;Jerusalem;Babylonian victory, destruction of Jerusalem, fall of Kingdom of Judah;Nebuchadnezzar II;Many slain, 4,200 others taken to captivity;Much fewer;Unknown;Unknown;Neo-Babylonian Empire
Battle of Halys (585 BC);May 28, 585 BC (supposedly);Lydia;Alyattes of Lydia;Halys River (modern Kızılırmak River, Turkey) (supposedly);Draw as the battle is interrupted by eclipse Peace agreement;Cyaxares	Astyages;;;;;Medes
Battle of the Median Border;551 BC?;Medes;Astyages	Harpagus;On the road between Ecbatana and Pasargadae, on the Persian side of the border between Media and Persis;Tactical Persian victory;Cambyses I	Cyrus the Great	Oebares;Heavy[5];120,000 to 200,000? cavalry,[1]	3,000 chariots[2];Light[6];50,000 cavalry,[3]	100 chariots,[4]	unknown amount of peasants defending the city walls;Persis
Battle of Hyrba;Winter-Spring?, 552 BC;Medes;Harpagus;Hyrba, Media;Decisive Persian victory.;Cyrus the Great	Harpagus;250 cavalry[4];300 cavalry[1];Very light[5];5,000 infantry, (engaged)?[2]	1,000+ cavalry[3];Persis
Battle of Pteria;Autumn 547 BC;Lydia	Babylonia	Arabian Peninsula;Croesus	Lydia	Artacamas	Phrygia	Aribaeus	Cappadocia	Aragdus	Arabian Peninsula	Gabaedus	Dardanelles;Pteria, Cappadocia39°55′00″N 35°20′00″E﻿ / ﻿39.9167°N 35.3333°ECoordinates: 39°55′00″N 35°20′00″E﻿ / ﻿39.9167°N 35.3333°E;"Tactical stalemate;Strategic Persian victory.";Cyrus the Great	Abradatas;Heavy1;95,000[1];Heavy2;20,000[2];Achaemenid Empire
Battle of Thymbra;December, 547 BC;Lydia	Arabian Peninsula	Neo-Babylonian Empire	Ancient Egypt;Croesus	Lydia	Artacamas	Phrygia	Aribaeus	Cappadocia	Aragdus	Arabian Peninsula	Gabaedus	Dardanelles;Thymbra (Modern day Hanaï Tepeh), Lydia38°40′00″N 27°50′00″E﻿ / ﻿38.66667°N 27.83333°ECoordinates: 38°40′00″N 27°50′00″E﻿ / ﻿38.66667°N 27.83333°E;Decisive Persian victory.;Cyrus the Great	Harpagus	Abradatas;Heavy;420,000 (Xenophon)	300 chariots	(Xenophon);Light;200,000 (Xenophon) but probably between 20000 and 50000[1]	700 chariots	(300 engaged),	5-6 siege towers	(Xenophon);Achaemenid Empire
Siege of Sardis (547 BC);December, 547 BC;Lydia;Croesus;Sardis, Lydia38°29′00″N 28°02′00″E﻿ / ﻿38.48333°N 28.03333°ECoordinates: 38°29′00″N 28°02′00″E﻿ / ﻿38.48333°N 28.03333°E;Decisive Persian victory;Cyrus the Great	Harpagus;Unknown;Unknown;Light;Unknown;Achaemenid Empire
Battle of Opis;September 25 – September 28?, 539 BC;Neo-Babylonian Empire;Nabonidus	Babylonia	Belshazzar;Opis, Babylonia33°10′53″N 44°42′00″E﻿ / ﻿33.18139°N 44.70000°ECoordinates: 33°10′53″N 44°42′00″E﻿ / ﻿33.18139°N 44.70000°E;Decisive Persian victory.[1][2];Cyrus the Great	Gobryas	Gutian people	Pantea Arteshbod	Aryasb;Heavy?[4];;Unknown;;Achaemenid Empire
Battle of Silva Arsia;February 28, 509 BC;Wikimedia Error;Lucius Junius Brutus	Publius Valerius Publicola;near the Silva Arsia (a forest nearby Rome);Roman victory Defeat of monarchist forces and maintenance of Republican government.;Lucius Tarquinius Superbus	Arruns Tarquinius (son of Tarquin the Proud);;;;;Wikimedia Error	Veii
Siege of Rome (508 BC);508 BC;Roman Republic;Publius Valerius Publicola	Titus Lucretius Tricipitinus	Cloelia;Rome;Peace treaty;Lars Porsena;;;;;Clusium
