	url	title
0	/wiki/Battle_of_Banquan	Battle of Banquan
1	/wiki/Battle_of_Zhuolu	Battle of Zhuolu
2	/wiki/Battle_of_Uruk	Battle of Uruk
3	/wiki/Battle_of_Mingtiao	Battle of Mingtiao
4	/wiki/Battle_of_the_Ten_Kings	Battle of the Ten Kings
5	/wiki/Battle_of_Megiddo_(15th_century_BC)	Battle of Megiddo (15th century BC)
6	/wiki/Battle_of_Jericho	Battle of Jericho
8	/wiki/Battle_at_Gibeah	Battle at Gibeah
9	/wiki/Battles_of_Alashiya	Battles of Alashiya
10	/wiki/Battle_of_Kadesh	Battle of Kadesh
11	/wiki/Siege_of_Dapur	Siege of Dapur
12	/wiki/Battle_of_Nihriya	Battle of Nihriya
13	/wiki/Siege_of_Troy	Siege of Troy
14	/wiki/Battle_of_Djahy	Battle of Djahy
15	/wiki/Battle_of_the_Delta	Battle of the Delta
16	/wiki/Battle_of_Mount_Tabor_(biblical)	Battle of Mount Tabor (biblical)
17	/wiki/Battle_of_Muye	Battle of Muye
18	/wiki/Battle_of_Michmash	Battle of Michmash
20	/wiki/Battle_of_Bitter_Lakes	Battle of Bitter Lakes
21	/wiki/Battle_of_Mount_Zemaraim	Battle of Mount Zemaraim
22	/wiki/Battle_of_Suru	Battle of Suru
23	/wiki/Battle_of_Karkar	Battle of Karkar
24	/wiki/Battle_of_Dur-Papsukkal	Battle of Dur-Papsukkal
26	/wiki/Siege_of_Gezer_(c.733_BC)	Siege of Gezer (c.733 BC)
29	/wiki/Battle_of_Xuge	Battle of Xuge
30	/wiki/Siege_of_Azekah	Siege of Azekah
31	/wiki/Siege_of_Lachish	Siege of Lachish
32	/wiki/Siege_of_Jerusalem_(701_BC)	Siege of Jerusalem (701 BC)
33	/wiki/Battle_of_Diyala_River	Battle of Diyala River
34	/wiki/Battle_of_Halule	Battle of Halule
35	/wiki/Siege_of_Babylon	Siege of Babylon
36	/wiki/Battle_of_Deres	Battle of Deres
37	/wiki/Battle_of_the_Great_Foss	Battle of the Great Foss
38	/wiki/Battle_of_Hysiae_(669_BC)	Battle of Hysiae (669 BC)
39	/wiki/Battle_of_Ulai	Battle of Ulai
40	/wiki/Battle_of_Susa	Battle of Susa
41	/wiki/Fall_of_Ashdod	Fall of Ashdod
42	/wiki/Battle_of_Chengpu	Battle of Chengpu
44	/wiki/Battle_of_Arrapha	Battle of Arrapha
45	/wiki/Fall_of_Tarbisu	Fall of Tarbisu
46	/wiki/Fall_of_Assur	Fall of Assur
47	/wiki/Battle_of_Nineveh_(612_BC)	Battle of Nineveh (612 BC)
48	/wiki/Battle_of_Megiddo_(609_BC)	Battle of Megiddo (609 BC)
49	/wiki/Fall_of_Harran	Fall of Harran
50	/wiki/Battle_of_Carchemish	Battle of Carchemish
51	/wiki/Battle_of_Hamath	Battle of Hamath
52	/wiki/Siege_of_Jerusalem_(597_BC)	Siege of Jerusalem (597 BC)
53	/wiki/Battle_of_Bi	Battle of Bi
54	/wiki/Battle_of_An	Battle of An
55	/wiki/Siege_of_Jerusalem_(587_BC)	Siege of Jerusalem (587 BC)
56	/wiki/Battle_of_Halys_(585_BC)	Battle of Halys (585 BC)
57	/wiki/Siege_of_Kirrha	Siege of Kirrha
58	/wiki/Battle_of_Yanling	Battle of Yanling
59	/wiki/Battle_of_the_Median_Border	Battle of the Median Border
60	/wiki/Battle_of_Hyrba	Battle of Hyrba
61	/wiki/Battle_of_the_Fetters	Battle of the Fetters
62	/wiki/Battle_of_Pasargadae	Battle of Pasargadae
63	/wiki/Battle_of_Pteria	Battle of Pteria
64	/wiki/Battle_of_Thymbra	Battle of Thymbra
65	/wiki/Siege_of_Sardis_(547_BC)	Siege of Sardis (547 BC)
66	/wiki/Battle_of_The_300_Champions	Battle of The 300 Champions
67	/wiki/Battle_of_Alalia	Battle of Alalia
68	/wiki/Battle_of_Opis	Battle of Opis
69	/wiki/Battle_of_Pelusium_(525_BC)	Battle of Pelusium (525 BC)
70	/wiki/Battle_of_Silva_Arsia	Battle of Silva Arsia
71	/wiki/Siege_of_Rome_(508_BC)	Siege of Rome (508 BC)
72	/wiki/Battle_of_Bai_ju	Battle of Bai ju
73	/wiki/Siege_of_Naxos_(499_BC)	Siege of Naxos (499 BC)
74	/wiki/Battle_of_Ephesus_(498_BC)	Battle of Ephesus (498 BC)
75	/wiki/Battle_of_Lake_Regillus	Battle of Lake Regillus
76	/wiki/Battle_of_Lade	Battle of Lade
77	/wiki/Battle_of_Sepeia	Battle of Sepeia
78	/wiki/Siege_of_Eretria	Siege of Eretria
79	/wiki/Battle_of_Marathon	Battle of Marathon
80	/wiki/Battle_of_Thermopylae	Battle of Thermopylae
81	/wiki/Battle_of_Artemisium	Battle of Artemisium
82	/wiki/Battle_of_Salamis	Battle of Salamis
83	/wiki/Battle_of_Himera_(480_BC)	Battle of Himera (480 BC)
84	/wiki/Battle_of_Plataea	Battle of Plataea
85	/wiki/Battle_of_Mycale	Battle of Mycale
86	/wiki/Siege_of_Byzantium_(478_BC)	Siege of Byzantium (478 BC)
87	/wiki/Battle_of_Lize	Battle of Lize
88	/wiki/Battle_of_the_Cremera	Battle of the Cremera
89	/wiki/Battle_of_Cumae	Battle of Cumae
90	/wiki/Battle_of_the_Eurymedon	Battle of the Eurymedon
91	/wiki/Battle_of_Mount_Algidus	Battle of Mount Algidus
92	/wiki/Battle_of_Aegina	Battle of Aegina
93	/wiki/Battle_of_Tanagra_(457_BC)	Battle of Tanagra (457 BC)
94	/wiki/Battle_of_Oenophyta	Battle of Oenophyta
95	/wiki/Siege_of_Prosoptis	Siege of Prosoptis
96	/wiki/Battle_of_Jinyang	Battle of Jinyang
97	/wiki/Siege_of_Citium	Siege of Citium
98	/wiki/Battle_of_Salamis_(in_Cyprus)	Battle of Salamis (in Cyprus)
99	/wiki/Battle_of_Coronea_(447_BC)	Battle of Coronea (447 BC)
100	/wiki/Battle_of_Corbio	Battle of Corbio
101	/wiki/Capture_of_Fidenae_(435_BC)	Capture of Fidenae (435 BC)
102	/wiki/Battle_of_Sybota	Battle of Sybota
103	/wiki/Battle_of_Potidaea	Battle of Potidaea
104	/wiki/Battle_of_Spartolos	Battle of Spartolos
105	/wiki/Battle_of_Rhium	Battle of Rhium
106	/wiki/Battle_of_Naupactus_(429_BC)	Battle of Naupactus (429 BC)
107	/wiki/Battle_of_Tanagra_(426_BC)	Battle of Tanagra (426 BC)
108	/wiki/Battle_of_Olpae	Battle of Olpae
109	/wiki/Battle_of_Idomene	Battle of Idomene
110	/wiki/Battle_of_Pylos	Battle of Pylos
111	/wiki/Battle_of_Sphacteria	Battle of Sphacteria
112	/wiki/Battle_of_Megara	Battle of Megara
113	/wiki/Battle_of_Delium	Battle of Delium
114	/wiki/Battle_of_Amphipolis	Battle of Amphipolis
115	/wiki/Battle_of_Mantinea_(418_BC)	Battle of Mantinea (418 BC)
116	/wiki/Battle_of_Hysiae_(417_BC)	Battle of Hysiae (417 BC)
117	/wiki/Battle_of_Melos	Battle of Melos
118	/wiki/Battle_of_Syracuse_(415_BC)	Battle of Syracuse (415 BC)
119	/wiki/Battle_of_Eretria	Battle of Eretria
120	/wiki/Battle_of_Syme	Battle of Syme
121	/wiki/Battle_of_Cynossema	Battle of Cynossema
122	/wiki/Battle_of_Cyzicus	Battle of Cyzicus
123	/wiki/Battle_of_Abydos	Battle of Abydos
124	/wiki/Battle_of_Selinus	Battle of Selinus
125	/wiki/Battle_of_Himera_(409_BC)	Battle of Himera (409 BC)
126	/wiki/Battle_of_Notium	Battle of Notium
127	/wiki/Battle_of_Mytilene_(406_BC)	Battle of Mytilene (406 BC)
128	/wiki/Battle_of_Arginusae	Battle of Arginusae
129	/wiki/Siege_of_Akragas_(406_BC)	Siege of Akragas (406 BC)
130	/wiki/Battle_of_Gela_(405_BC)	Battle of Gela (405 BC)
131	/wiki/Battle_of_Aegospotami	Battle of Aegospotami
132	/wiki/Battle_of_Phyle	Battle of Phyle
133	/wiki/Battle_of_Munychia	Battle of Munychia
134	/wiki/Battle_of_Piraeus	Battle of Piraeus
135	/wiki/Battle_of_Cunaxa	Battle of Cunaxa
136	/wiki/Siege_of_Motya	Siege of Motya
137	/wiki/Battle_of_Messene	Battle of Messene
138	/wiki/Battle_of_Catana_(397_BC)	Battle of Catana (397 BC)
139	/wiki/Siege_of_Syracuse_(397_BC)	Siege of Syracuse (397 BC)
140	/wiki/Battle_of_Veii	Battle of Veii
141	/wiki/Battle_of_Haliartus	Battle of Haliartus
142	/wiki/Battle_of_Nemea_(394_BC)	Battle of Nemea (394 BC)
143	/wiki/Battle_of_Cnidus	Battle of Cnidus
144	/wiki/Battle_of_Coronea_(394_BC)	Battle of Coronea (394 BC)
